ID,1
Start,2024-10-29-23-10-10
Finish,2024-10-29-23-12-48
order,angle,position,calibration,modulus,answer
1,135,25,120,80,150
2,90,50,120,100,150
3,135,100,120,120,150
4,90,0,100,90,150
5,135,75,90,90,150
6,90,25,100,100,150
7,90,100,80,100,150
8,45,75,100,110,150
9,90,25,80,120,150
10,135,100,100,100,150
11,45,0,100,80,150
12,90,50,90,110,150
13,90,25,90,100,150
14,45,100,110,110,150
15,135,100,90,90,150
16,135,100,80,100,150
17,90,0,80,120,150
18,45,100,90,100,150
19,45,100,120,90,150
20,45,75,90,90,150
21,45,50,90,110,150
22,135,0,90,120,150
23,45,25,110,110,150
24,135,0,80,90,150
25,90,50,110,110,150
26,90,75,80,90,150
27,135,50,110,90,150
28,90,75,90,110,150
29,90,75,110,90,150
30,135,0,110,120,150
31,90,0,120,110,150
32,45,100,100,90,150
33,90,100,90,80,150
34,45,75,120,120,150
35,135,0,100,100,150
36,90,25,110,120,150
37,135,75,100,90,150
38,135,75,110,120,150
39,45,25,80,110,150
40,45,50,120,120,100
41,45,0,110,110,100
42,45,0,90,90,110
43,135,25,90,110,110
44,90,0,90,120,100
45,45,25,100,100,150
46,135,0,120,80,130
47,90,50,80,110,100
48,90,100,120,80,90
49,45,0,120,90,150
50,135,50,100,90,140
51,90,50,100,120,130
52,45,75,110,120,120
53,135,50,80,90,110
54,135,25,100,90,90
55,90,25,120,80,80
56,45,25,90,80,70
57,45,50,80,120,60
58,135,100,110,120,50
59,135,25,80,100,150
60,45,0,80,80,140
61,45,50,100,90,130
62,90,75,120,110,120
63,90,0,110,90,110
64,90,100,110,110,100
65,135,75,80,110,90
66,135,75,120,120,80
67,135,50,90,80,70
68,135,25,110,120,60
69,90,75,100,120,50
70,90,100,100,100,150
71,45,75,80,90,140
72,45,25,120,110,130
73,45,50,110,110,120
74,45,100,80,80,110
75,135,50,120,120,100
